sample_id,time_step,target,Open,High,Low,Close,Volume,returns,sma_5,sma_20,rsi,volume_z
17,1,0.7549097,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
17,2,0.7549097,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
17,3,0.7549097,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
17,4,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,6.364616e-06,0.31547084,0.90693384,0.9213207,0.5357281,6.364616e-06
17,5,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,4.7734622e-05,0.31663275,0.90712214,0.9215156,0.5769365,4.7734622e-05
17,6,0.7549097,0.77279997,0.7220974,0.9073034,0.75726634,0.0001760877,0.31430694,0.9074988,0.92161304,0.57693857,0.0001760877
18,0,0.7549097,0.7696,0.71910113,0.90636706,0.7556952,0.0010607693,0.31314072,0.9059922,0.9204435,0.5471825,0.0010607693
18,1,0.7549097,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
18,2,0.7549097,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
18,3,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,6.364616e-06,0.31547084,0.90693384,0.9213207,0.5357281,6.364616e-06
18,4,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,4.7734622e-05,0.31663275,0.90712214,0.9215156,0.5769365,4.7734622e-05
18,5,0.7549097,0.77279997,0.7220974,0.9073034,0.75726634,0.0001760877,0.31430694,0.9074988,0.92161304,0.57693857,0.0001760877
18,6,0.7549097,0.7704,0.7213483,0.9054307,0.7549097,2.2276157e-05,0.31313738,0.9063689,0.9216862,0.44000822,2.2276157e-05
19,0,0.7549097,0.7704,0.72284645,0.9073034,0.759623,0.0003914239,0.32246906,0.90636885,0.92088205,0.58622396,0.0003914239
19,1,0.7549097,0.7736,0.72284645,0.9110487,0.759623,0.0,0.31663275,0.9067455,0.9211257,0.58622396,0.0
19,2,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,6.364616e-06,0.31547084,0.90693384,0.9213207,0.5357281,6.364616e-06
19,3,0.7549097,0.77279997,0.7220974,0.9101124,0.7588374,4.7734622e-05,0.31663275,0.90712214,0.9215156,0.5769365,4.7734622e-05
19,4,0.7549097,0.77279997,0.7220974,0.9073034,0.75726634,0.0001760877,0.31430694,0.9074988,0.92161304,0.57693857,0.0001760877
19,5,0.7549097,0.7704,0.7213483,0.9054307,0.7549097,2.2276157e-05,0.31313738,0.9063689,0.9216862,0.44000822,2.2276157e-05
19,6,0.7549097,0.76879996,0.718352,0.9054307,0.7549097,1.0607694e-06,0.31663275,0.905239,0.9216374,0.44000822,1.0607694e-06
