Date,return_1d,hl_range,Volume,news_count_1d,news_count_7d,sentiment_mean_1d,sentiment_mean_7d,sentiment_vol_7d,Close
2024-07-30,0.03995427153545705,0.2129527610861503,19200,0.0,0.0,0.0,0.0,0.0,9.109999656677246
2024-07-31,-0.09001094684160538,0.10977079030151178,4400,0.0,0.0,0.0,0.0,0.0,8.289999961853027
2024-08-01,0.26055486819680196,0.3177033258776382,106000,0.0,0.0,0.0,0.0,0.0,10.449999809265137
2024-08-02,0.008612454950295279,0.10246678630121939,9000,0.0,0.0,0.0,0.0,0.0,10.539999961853027
2024-08-05,0.04364326753432923,0.1372727480801669,29900,0.0,0.0,0.0,0.0,0.0,11.0
2024-08-06,0.2599999687888406,0.2611832593960489,101800,0.0,0.0,0.0,0.0,0.0,13.859999656677246
2024-08-07,-0.23520918874171615,0.28584902112532484,29600,0.0,0.0,0.0,0.0,0.0,10.600000381469727
2024-08-08,-0.028301903767787184,0.28932033854882067,88700,0.0,0.0,0.0,0.0,0.0,10.300000190734863
2024-08-09,0.10582525557313827,0.30728708467966215,63000,0.0,0.0,0.0,0.0,0.0,11.390000343322754
2024-08-12,-0.17471472035197033,0.25531911871561574,19900,0.0,0.0,0.0,0.0,0.0,9.399999618530273
2024-08-13,0.07978723728046977,0.32216754489269334,63900,0.0,0.0,0.0,0.0,0.0,10.149999618530273
2024-08-14,0.10344829854160165,0.19642855774383133,46100,0.0,0.0,0.0,0.0,0.0,11.199999809265137
2024-08-15,-0.12946427088915058,0.16410260322766426,37500,0.0,0.0,0.0,0.0,0.0,9.75
2024-08-16,0.045128162090595,0.3640824524948037,194200,0.0,0.0,0.0,0.0,0.0,10.1899995803833
2024-08-19,-0.1952894850897834,0.4634146681858776,48400,0.0,0.0,0.0,0.0,0.0,8.199999809265137
2024-08-20,-0.018292636831624076,0.18385087045584564,40800,0.0,0.0,0.0,0.0,0.0,8.050000190734863
2024-08-21,0.09813663889875146,0.4852941049550932,217200,0.0,0.0,0.0,0.0,0.0,8.84000015258789
2024-08-22,0.16628962009672232,0.1898156837146196,238600,0.0,0.0,0.0,0.0,0.0,10.3100004196167
2024-08-23,-0.025218255897171193,0.156218872142073,65400,0.0,0.0,0.0,0.0,0.0,10.050000190734863
2024-08-26,0.0,0.06766162573094865,73500,0.0,0.0,0.0,0.0,0.0,10.050000190734863
2024-08-27,-0.11442791546061659,0.20561797776888635,67100,0.0,0.0,0.0,0.0,0.0,8.899999618530273
2024-08-28,-0.11348312307135433,0.21419513421817954,54000,0.0,0.0,0.0,0.0,0.0,7.889999866485596
2024-08-29,-0.07604561657614117,0.16735257522809366,40600,0.0,0.0,0.0,0.0,0.0,7.289999961853027
2024-08-30,0.20438954443278545,0.18451029745624203,51700,0.0,0.0,0.0,0.0,0.0,8.779999732971191
2024-09-03,-0.009111608899671664,0.1586207062868295,33600,0.0,0.0,0.0,0.0,0.0,8.699999809265137
2024-09-04,-0.02298848432756806,0.11999994165757123,18600,0.0,0.0,0.0,0.0,0.0,8.5
2024-09-05,0.023529389325310124,0.05172411714146312,59100,0.0,0.0,0.0,0.0,0.0,8.699999809265137
2024-09-06,0.06896556260044417,0.09139788860612504,42300,0.0,0.0,0.0,0.0,0.0,9.300000190734863
2024-09-09,-0.18494626147882887,0.32058045551411224,128200,0.0,0.0,0.0,0.0,0.0,7.579999923706055
2024-09-10,-0.07651714110077168,0.19428566523960658,51300,0.0,0.0,0.0,0.0,0.0,7.0
2024-09-11,-0.054285730634416884,0.10951667583125611,14600,0.0,0.0,0.0,0.0,0.0,6.619999885559082
2024-09-12,-0.01661626262520033,0.12903220372006216,34200,0.0,0.0,0.0,0.0,0.0,6.510000228881836
2024-09-13,-0.02764981549112766,0.09004742156894945,24700,0.0,0.0,0.0,0.0,0.0,6.329999923706055
2024-09-16,-0.10173776637720966,0.2655645908064519,37600,0.0,0.0,0.0,0.0,0.0,5.685999870300293
2024-09-17,-0.09426658233542196,0.5038834450752583,364300,0.0,0.0,0.0,0.0,0.0,5.150000095367432
