Date,ticker,weekofyear_sin,weekofyear_cos,log_ret_lag1,ret_3d,mom_10,ma_200,macd,bbp,adx_14,obv,vol_ma_20,vol_chg,vol_20d,Close
2024-04-10,RZLV,0.97094184,-0.23931566,-0.038714577,-0.00620015,0.15000057,10.773505,0.11348243,0.5498945,68.252655,2305500.0,9985.0,-0.08571429,0.016848432,11.220000267028809
2024-04-11,RZLV,0.97094184,-0.23931566,-0.015915398,-0.04219409,0.1800003,10.778755,0.10926302,0.6818362,67.96793,2308800.0,10150.0,0.03125,0.017004564,11.350000381469727
2024-04-12,RZLV,0.97094184,-0.23931566,0.011519854,-0.024561381,0.03999996,10.782355,0.08636443,0.40178713,67.59504,2300900.0,10545.0,1.3939394,0.017703628,11.119999885559082
2024-04-15,RZLV,0.9350162,-0.3546049,-0.020472499,0.0053475457,0.21999931,10.786255,0.08020325,0.5811615,67.433716,2302300.0,10255.0,-0.8227848,0.017940024,11.279999732971191
2024-04-16,RZLV,0.9350162,-0.3546049,0.0142859435,-0.015859056,0.010000229,10.789855,0.06568722,0.4427557,66.695984,2250800.0,11790.0,35.785713,0.018083485,11.170000076293945
2024-04-17,RZLV,0.9350162,-0.3546049,-0.009799602,0.0044964203,-0.3050003,10.793455,0.05356569,0.43801087,66.05717,2250800.0,11575.0,-0.9359223,0.018083485,11.170000076293945
2024-04-18,RZLV,0.9350162,-0.3546049,0.0,-0.009751743,-0.22999954,10.797055,0.043458324,0.43015444,65.463974,2250800.0,11190.0,-0.969697,0.01805871,11.170000076293945
2024-04-19,RZLV,0.9350162,-0.3546049,0.0,-0.0035810173,-0.15999985,10.800505,0.031853322,0.3691877,64.65627,2196100.0,10395.0,546.0,0.01804577,11.130000114440918
2024-04-22,RZLV,0.885456,-0.46472317,-0.0035874443,-0.0026857415,-0.71000004,10.804005,0.023195818,0.36986402,64.139595,2291800.0,15180.0,0.74954295,0.018045064,11.140000343322754
2024-04-23,RZLV,0.885456,-0.46472317,0.0008980897,0.008952586,-0.12999916,10.808305,0.026518915,0.52885866,63.793686,2725000.0,36715.0,3.5266457,0.018193869,11.270000457763672
2024-04-24,RZLV,0.885456,-0.46472317,0.011602104,0.033243474,0.27999973,10.813755,0.04716781,0.80682623,63.841484,2770600.0,38675.0,-0.8947368,0.018698692,11.5
2024-04-25,RZLV,0.885456,-0.46472317,0.020202667,0.039497267,0.22999954,10.819605,0.06918996,0.865598,64.01474,2785000.0,39255.0,-0.68421054,0.018663732,11.579999923706055
2024-04-26,RZLV,0.885456,-0.46472317,0.00693243,0.023070032,0.40999985,10.825305,0.08166667,0.7734651,64.17561,2748800.0,40205.0,1.5138888,0.018576534,11.529999732971191
2024-04-29,RZLV,0.82298386,-0.56806475,-0.0043271543,0.018347865,0.4310007,10.83191,0.104949996,0.9397788,64.70365,2830900.0,44160.0,1.2679558,0.018791195,11.711000442504883
2024-04-30,RZLV,0.82298386,-0.56806475,0.015576297,-0.0017270729,0.39000034,10.83776,0.10995033,0.73338014,65.19398,2811600.0,45115.0,-0.76492083,0.019060109,11.5600004196167
2024-05-01,RZLV,0.82298386,-0.56806475,-0.012977709,0.00867306,0.46000004,10.84371,0.11819898,0.7980867,65.87444,2816600.0,45295.0,-0.74093264,0.018069463,11.630000114440918
2024-05-02,RZLV,0.82298386,-0.56806475,0.006037077,-0.0077705192,0.4499998,10.84926,0.12251688,0.76512474,66.50631,2811700.0,44300.0,-0.02,0.017992169,11.619999885559082
2024-05-03,RZLV,0.82298386,-0.56806475,-0.0008602348,0.01643595,0.6199999,10.8553095,0.13487402,0.86408186,67.09304,2822900.0,44575.0,1.2857143,0.01793963,11.75
2024-05-06,RZLV,0.7485108,-0.66312265,0.011125499,0.014789332,0.6619997,10.86172,0.14716665,0.9302483,67.75199,2836700.0,44515.0,0.23214285,0.014079381,11.802000045776367
2024-05-07,RZLV,0.7485108,-0.66312265,0.004415772,0.0025817326,0.37999916,10.86742,0.14299515,0.7451079,68.36387,2823800.0,44985.0,-0.06521739,0.01138806,11.649999618530273
2024-05-08,RZLV,0.7485108,-0.66312265,-0.012962866,-0.005957421,0.1800003,10.87302,0.1404905,0.7502537,67.625656,2832100.0,45240.0,-0.35658914,0.0106682265,11.680000305175781
2024-05-09,RZLV,0.7485108,-0.66312265,0.0025718564,0.015082147,0.39999962,10.88012,0.16085872,0.9764615,68.00532,2908700.0,48905.0,8.228915,0.011742207,11.979999542236328
2024-05-10,RZLV,0.7485108,-0.66312265,0.02536055,-0.020600839,-0.119999886,10.88432,0.1295135,0.42452475,68.35787,2861000.0,50895.0,-0.3772846,0.015537513,11.40999984741211
2024-05-13,RZLV,0.66312265,-0.7485108,-0.048748404,-0.015410985,-0.21100044,10.88897,0.110658854,0.5023576,68.685234,2903700.0,52960.0,-0.1048218,0.015318043,11.5
2024-05-14,RZLV,0.66312265,-0.7485108,0.007856885,-0.048414018,-0.1600008,10.89302,0.08664838,0.3855117,68.77092,2864400.0,52350.0,-0.07962529,0.015280516,11.399999618530273
2024-05-15,RZLV,0.66312265,-0.7485108,-0.008733713,-0.0035056935,-0.26000023,10.89702,0.06445617,0.33595866,68.85048,2833000.0,53755.0,-0.20101781,0.015302092,11.369999885559082
2024-05-16,RZLV,0.66312265,-0.7485108,-0.0026350243,-0.013043446,-0.2699995,10.90127,0.04473917,0.29384452,68.92436,2831500.0,53825.0,-0.9522293,0.015313195,11.350000381469727
2024-05-17,RZLV,0.66312265,-0.7485108,-0.0017605202,0.005263195,-0.28999996,10.90577,0.03755643,0.39184624,68.992966,2861600.0,52595.0,19.066668,0.015395586,11.460000038146973
2024-05-20,RZLV,0.56806475,-0.82298386,0.009644937,0.002638499,-0.40200043,10.90992,0.026714573,0.27466494,69.05666,2831000.0,49340.0,0.016611295,0.015470714,11.399999618530273
2024-05-21,RZLV,0.56806475,-0.82298386,-0.0052493927,0.012070492,-0.16299915,10.914855,0.02485604,0.37454483,69.19025,2847500.0,28505.0,-0.46078432,0.0153537495,11.487000465393066
2024-05-22,RZLV,0.56806475,-0.82298386,0.0076026795,-0.0008726203,-0.2300005,10.919605,0.020165045,0.3230579,69.31428,2847000.0,26250.0,-0.969697,0.014681588,11.449999809265137
2024-05-23,RZLV,0.56806475,-0.82298386,-0.0032262884,0.0043859817,-0.52999973,10.924355,0.016259965,0.3349679,67.989136,2847000.0,26375.0,32.8,0.014587366,11.449999809265137
2024-05-24,RZLV,0.56806475,-0.82298386,0.0,-0.0023505203,0.05000019,10.929155,0.013812867,0.35651517,66.79027,2853800.0,24905.0,-0.5976331,0.014561304,11.460000038146973
2024-05-28,RZLV,0.46472317,-0.885456,0.0008730013,-0.0069868932,-0.13000011,10.9331045,0.0045587155,0.24860372,65.10262,2839500.0,21515.0,1.1029412,0.01415438,11.369999885559082
2024-05-29,RZLV,0.46472317,-0.885456,-0.007884417,-0.0075108726,-0.035999298,10.937275,-0.0032222373,0.26048434,63.61416,2835800.0,20735.0,-0.74125874,0.013892612,11.36400032043457
2024-05-30,RZLV,0.46472317,-0.885456,-0.00052780553,0.0026177778,0.119999886,10.942075,0.00076953357,0.45297045,62.31335,2841000.0,20745.0,0.4054054,0.014067047,11.489999771118164
2024-05-31,RZLV,0.46472317,-0.885456,0.01102658,0.015831161,0.19999981,10.946575,0.008674578,0.5462377,61.346943,2905800.0,23740.0,11.461538,0.014124701,11.550000190734863
2024-06-03,RZLV,0.3546049,-0.9350162,0.0052083815,0.0014079368,-0.07999992,10.949525,0.0012078736,0.3157133,60.040703,2898500.0,23545.0,-0.8873457,0.014212473,11.380000114440918
2024-06-04,RZLV,0.3546049,-0.9350162,-0.014828015,-0.007832912,0.0,10.952575,-0.0030604715,0.36468694,58.985252,2900100.0,22935.0,-0.7808219,0.014166363,11.399999618530273
2024-06-05,RZLV,0.3546049,-0.9350162,0.0017558832,-0.0043290206,0.012999535,10.956125,0.0016074992,0.54814696,58.306156,2913500.0,22960.0,7.375,0.014088894,11.5
2024-06-06,RZLV,0.3546049,-0.9350162,0.008733713,0.00702987,0.010000229,10.959475,0.0020555418,0.4971064,55.886223,2835800.0,26430.0,4.7985077,0.014083201,11.460000038146973
2024-06-07,RZLV,0.3546049,-0.9350162,-0.0034843208,0.0070175375,0.029999733,10.963925,0.0039785495,0.6937067,53.63914,2841700.0,22895.0,-0.9240669,0.012653593,11.479999542236328
2024-06-10,RZLV,0.23931566,-0.97094184,0.0017436364,0.0043478427,0.09000015,10.968725,0.011023938,0.93555117,51.95257,2844500.0,20650.0,-0.5254237,0.006850789,11.550000190734863
2024-06-11,RZLV,0.23931566,-0.97094184,0.0060791024,-0.0052356385,0.029999733,10.9727745,0.0044523412,0.34023902,49.672924,2841800.0,18650.0,-0.035714287,0.0072648674,11.399999618530273
2024-06-12,RZLV,0.23931566,-0.97094184,-0.013072131,-0.006533085,0.040999413,10.97675,-0.00034821423,0.35955665,47.71349,2845700.0,16880.0,0.44444445,0.0069989115,11.404999732971191
2024-06-13,RZLV,0.23931566,-0.97094184,0.00043851038,-0.0073593105,-0.024999619,10.981025,0.0006809932,0.59219337,46.23438,2861500.0,16100.0,3.0512822,0.0070622563,11.46500015258789
2024-06-14,RZLV,0.23931566,-0.97094184,0.0052470975,0.007894751,-0.06000042,10.985425,0.0034738632,0.6805243,44.860924,2908700.0,18385.0,1.9873418,0.0070526325,11.489999771118164
2024-06-17,RZLV,0.12053668,-0.99270886,0.0021781423,0.00043841425,0.029999733,10.989825,-0.0007593392,0.3280357,42.932808,2903700.0,17130.0,-0.8940678,0.006908983,11.40999984741211
2024-06-18,RZLV,0.12053668,-0.99270886,-0.0069869217,0.0013082764,0.07999992,10.994575,0.0015167239,0.62810004,40.631733,2910400.0,15935.0,0.34,0.006940205,11.479999542236328
2024-06-20,RZLV,0.12053668,-0.99270886,0.0061162007,-0.0034812847,-0.05000019,10.999125,0.0008895385,0.49907237,38.617596,2901500.0,15555.0,0.3283582,0.0067517515,11.449999809265137
2024-06-21,RZLV,0.12053668,-0.99270886,-0.0026166376,0.0008764443,-0.03999996,11.002525,-0.0020051245,0.36797163,36.74733,2890100.0,16100.0,0.28089887,0.0067386394,11.420000076293945
2024-06-24,RZLV,-3.2162452e-16,-1.0,-0.0026235024,-0.0034843173,-0.03999996,11.006025,-0.0026547702,0.4622991,35.506973,2913100.0,16405.0,1.0175439,0.0067515033,11.4399995803833
2024-06-25,RZLV,-3.2162452e-16,-1.0,0.0017497384,-0.0017466816,-0.119999886,11.009475,-0.003931161,0.42332393,33.6626,2870800.0,18180.0,0.83913046,0.0067506135,11.430000305175781
2024-06-26,RZLV,-3.2162452e-16,-1.0,-0.0008744448,0.0008756768,0.030000687,11.012925,-0.0048863827,0.40451416,32.46885,2870800.0,17585.0,-0.9432624,0.0065002125,11.430000305175781
2024-06-27,RZLV,-3.2162452e-16,-1.0,0.0,0.0008741459,0.045000076,11.016425,-0.0039836885,0.4789374,31.360369,2871200.0,17420.0,-0.8333333,0.0065052034,11.449999809265137
2024-06-28,RZLV,-3.2162452e-16,-1.0,0.0017482089,0.0008748272,-0.025000572,11.019875,-0.0040287906,0.43855974,29.406979,2867000.0,17370.0,9.5,0.0060009304,11.4399995803833
2024-07-01,RZLV,-0.12053668,-0.99270886,-0.00087376405,0.0008748272,-0.05000019,11.023325,-0.0040182145,0.46311787,27.593117,2867000.0,14130.0,-1.0,0.005864622,11.4399995803833
2024-07-02,RZLV,-0.12053668,-0.99270886,0.0,-0.00087338244,0.029999733,11.026775,-0.0039641373,0.4402342,25.908815,2867000.0,13765.0,-1.0,0.0048101377,11.4399995803833
2024-07-03,RZLV,-0.12053668,-0.99270886,0.0,0.005244792,0.020000458,11.030525,0.0009097649,0.80717784,24.57285,2867400.0,13705.0,-1.0,0.0049284957,11.5
2024-07-05,RZLV,-0.12053668,-0.99270886,0.005231086,0.0008741459,0.0,11.034275,0.0007293623,0.48953646,23.332312,2867200.0,13045.0,-0.5,0.004626159,11.449999809265137
2024-07-08,RZLV,-0.23931566,-0.97094184,-0.004357322,-0.0013111355,0.0050001144,11.0379,-0.0014145622,0.32933524,22.180382,2866700.0,9185.0,1.5,0.0045868712,11.425000190734863
2024-07-09,RZLV,-0.23931566,-0.97094184,-0.0021857598,-0.008695685,-0.03999996,11.0414,-0.0050725024,0.19207503,21.123468,2866100.0,8920.0,0.2,0.0045859823,11.399999618530273
2024-07-10,RZLV,-0.23931566,-0.97094184,-0.0021906316,0.004366829,0.069999695,11.0454,9.663477e-05,0.95886064,20.390963,2993500.0,15150.0,211.33333,0.004816739,11.5
2024-07-11,RZLV,-0.23931566,-0.97094184,0.008733713,0.0048139477,0.049999237,11.0493,0.002549949,0.7711461,19.71078,2893300.0,20025.0,-0.21350078,0.0037939323,11.479999542236328
2024-07-12,RZLV,-0.23931566,-0.97094184,-0.0017406844,0.017543927,0.15000057,11.0538,0.014015719,1.3104551,20.54338,2996000.0,24965.0,0.0249501,0.0044152997,11.600000381469727
2024-07-15,RZLV,-0.3546049,-0.9350162,0.01039878,0.04086959,0.5300007,11.06015,0.05235481,1.4915812,23.944849,3183000.0,33525.0,0.8208374,0.008204538,11.970000267028809
2024-07-16,RZLV,-0.3546049,-0.9350162,0.03139841,0.023519205,0.31000042,11.0654,0.06424604,0.96554965,27.103354,3164800.0,32075.0,-0.9026738,0.0094057545,11.75
2024-07-17,RZLV,-0.3546049,-0.9350162,-0.018550301,-0.01896554,-0.059999466,11.0688,0.04331473,0.29384843,26.71634,3070200.0,36555.0,4.197802,0.011811844,11.380000114440918
2024-07-18,RZLV,-0.3546049,-0.9350162,-0.031995803,-0.045530498,-0.07499981,11.072425,0.030011684,0.38110605,26.356968,3118400.0,38630.0,-0.49048626,0.011761557,11.425000190734863
2024-07-19,RZLV,-0.3546049,-0.9350162,0.003946515,-0.030638268,-0.059999466,11.075875,0.016455047,0.3254385,25.771597,3049400.0,41635.0,0.43153527,0.0117669,11.390000343322754
2024-07-22,RZLV,-0.46472317,-0.885456,-0.0030681458,-0.0026361803,-0.07499981,11.079125,0.0024553472,0.2648349,25.228039,3033700.0,41850.0,-0.77246374,0.01177825,11.350000381469727
2024-07-23,RZLV,-0.46472317,-0.885456,-0.00351803,-0.010940919,-0.09999943,11.082125,-0.012529679,0.20136844,24.31855,2967200.0,44025.0,3.235669,0.011803854,11.300000190734863
2024-07-24,RZLV,-0.46472317,-0.885456,-0.004415035,-0.003511849,-0.14999962,11.085075,-0.020138675,0.29552713,22.8372,3022500.0,44675.0,-0.16842106,0.011855534,11.350000381469727
2024-07-25,RZLV,-0.46472317,-0.885456,0.004415035,0.0008809934,-0.119999886,11.088075,-0.025072977,0.32009482,21.46166,3043800.0,45620.0,-0.6148282,0.011858283,11.359999656677246
2024-07-26,RZLV,-0.46472317,-0.885456,0.00088060554,-0.15486725,-2.0500002,11.082325,-0.17304057,-0.50071716,24.331758,3024700.0,46555.0,-0.103286386,0.037473004,9.550000190734863
2024-07-29,RZLV,-0.56806475,-0.82298386,-0.1735572,-0.22819383,-3.21,11.07263,-0.35001758,-0.33737403,27.65931,3001800.0,47490.0,0.19895288,0.040929865,8.760000228881836
2024-07-30,RZLV,-0.56806475,-0.82298386,-0.08634524,-0.19806339,-2.6400003,11.06483,-0.45676577,-0.07345517,30.325903,3021000.0,48450.0,-0.16157205,0.042510778,9.109999656677246
2024-07-31,RZLV,-0.56806475,-0.82298386,0.039176743,-0.13193719,-3.0900002,11.05313,-0.60060817,-0.12063486,33.15602,3016600.0,48670.0,-0.7708333,0.04597641,8.289999961853027
2024-08-01,RZLV,-0.56806475,-0.82298386,-0.09432271,0.19292232,-0.9750004,11.05193,-0.534153,0.3921347,31.00835,3122600.0,53950.0,23.09091,0.07690317,10.449999809265137
2024-08-02,RZLV,-0.56806475,-0.82298386,0.23155199,0.1569704,-0.8500004,11.05103,-0.46882027,0.4232722,29.014088,3131600.0,54390.0,-0.9150943,0.07693805,10.539999961853027
2024-08-05,RZLV,-0.66312265,-0.7485108,0.008575579,0.3268999,-0.35000038,11.05258,-0.3755958,0.5357543,27.289778,3161500.0,55860.0,2.3222222,0.07759546,11.0
2024-08-06,RZLV,-0.66312265,-0.7485108,0.042717732,0.3263158,2.5599995,11.06843,-0.07012829,1.0748476,27.975227,3263300.0,60920.0,2.4046822,0.09682611,13.859999656677246
2024-08-07,RZLV,-0.66312265,-0.7485108,0.23111169,0.0056926394,-0.75,11.06798,-0.09005963,0.4349898,28.287415,3233700.0,56030.0,-0.7092338,0.11173168,10.600000381469727
2024-08-08,RZLV,-0.66312265,-0.7485108,-0.26815292,-0.06363635,-1.0599995,11.06603,-0.12858066,0.3869211,27.432596,3145000.0,55455.0,1.9966216,0.111932725,10.300000190734863
2024-08-09,RZLV,-0.66312265,-0.7485108,-0.028710123,-0.17821063,1.8400002,11.06953,-0.070344076,0.6069729,25.890305,3208000.0,53470.0,-0.2897407,0.11438827,11.390000343322754
2024-08-12,RZLV,-0.7485108,-0.66312265,0.10059189,-0.113207616,0.6399994,11.06308,-0.18266198,0.23633675,24.458176,3188100.0,45115.0,-0.684127,0.12098653,9.399999618530273
2024-08-13,RZLV,-0.7485108,-0.66312265,-0.19202615,-0.014563162,1.04,11.06038,-0.20874965,0.39975053,23.58375,3252000.0,47400.0,2.2110553,0.12240515,10.149999618530273
2024-08-14,RZLV,-0.7485108,-0.66312265,0.07676402,-0.016681345,2.9099998,11.06298,-0.1430491,0.61349076,22.771784,3298100.0,44975.0,-0.27856025,0.124297194,11.199999809265137
2024-08-15,RZLV,-0.7485108,-0.66312265,0.098440096,0.037234083,-0.6999998,11.05848,-0.20561363,0.33730826,22.017815,3260600.0,44440.0,-0.18655097,0.12796655,9.75
2024-08-16,RZLV,-0.7485108,-0.66312265,-0.13864648,0.003940883,-0.35000038,11.05603,-0.21718857,0.43767345,21.273067,3454800.0,50700.0,4.1786666,0.12836252,10.1899995803833
2024-08-19,RZLV,-0.82298386,-0.56806475,0.04413952,-0.26785713,-2.8000002,11.0435295,-0.38252857,0.09127252,20.03915,3406400.0,52335.0,-0.7507724,0.13576365,8.199999809265137
2024-08-20,RZLV,-0.82298386,-0.56806475,-0.21727267,-0.17435895,-5.8099995,11.03028,-0.51967496,0.115417115,19.19169,3365600.0,51050.0,-0.1570248,0.13578326,8.050000190734863
2024-08-21,RZLV,-0.82298386,-0.56806475,-0.018462015,-0.13248278,-1.7600002,11.02098,-0.55818367,0.28136542,19.390936,3582800.0,59145.0,4.3235292,0.13783789,8.84000015258789
2024-08-22,RZLV,-0.82298386,-0.56806475,0.09361478,0.25731716,0.010000229,11.01903,-0.46472827,0.5579549,19.57595,3821400.0,70010.0,0.0985267,0.14297296,10.3100004196167
2024-08-23,RZLV,-0.82298386,-0.56806475,0.15382744,0.2484472,-1.3400002,11.0157795,-0.40695292,0.50520027,19.297995,3756000.0,72325.0,-0.72590107,0.13792056,10.050000190734863
2024-08-26,RZLV,-0.885456,-0.46472317,-0.025541686,0.13687783,0.6500006,11.01278,-0.3570497,0.49305,19.039892,3756000.0,74855.0,0.123853214,0.13617209,10.050000190734863
2024-08-27,RZLV,-0.885456,-0.46472317,0.0,-0.1367605,-1.25,11.00373,-0.40562072,0.2776052,17.767546,3688900.0,77250.0,-0.08707483,0.13907225,8.899999618530273
2024-08-28,RZLV,-0.885456,-0.46472317,-0.12152142,-0.21492541,-3.31,10.98943,-0.51962227,0.099800736,17.433533,3634900.0,79730.0,-0.195231,0.14003879,7.889999866485596
2024-08-29,RZLV,-0.885456,-0.46472317,-0.120455116,-0.27462688,-2.46,10.97213,-0.65088135,0.060325537,17.123379,3594300.0,76460.0,-0.24814814,0.12761945,7.289999961853027
2024-08-30,RZLV,-0.885456,-0.46472317,-0.07909258,-0.013483134,-1.4099998,10.96228,-0.6274418,0.3277574,16.333227,3646000.0,78595.0,0.27339903,0.13633154,8.779999732971191
2024-09-03,RZLV,-0.9350162,-0.3546049,0.18597284,0.102661595,0.5,10.95203,-0.608309,0.3327246,15.22403,3612400.0,78780.0,-0.3500967,0.13594863,8.699999809265137
2024-09-04,RZLV,-0.9350162,-0.3546049,-0.009153374,0.1659808,0.4499998,10.940905,-0.6023409,0.29657876,14.1685295,3593800.0,74620.0,-0.44642857,0.12106599,8.5
2024-09-05,RZLV,-0.9350162,-0.3546049,-0.02325684,-0.009111609,-0.14000034,10.930655,-0.5748464,0.35832965,13.188423,3652900.0,76095.0,2.1774194,0.10982061,8.699999809265137
2024-09-06,RZLV,-0.9350162,-0.3546049,0.02325684,0.06896556,-1.0100002,10.923405,-0.4988909,0.5041219,12.87914,3695200.0,73775.0,-0.28426397,0.11083865,9.300000190734863
2024-09-09,RZLV,-0.97094184,-0.23931566,0.06669141,-0.1082353,-2.4700003,10.9074545,-0.57090425,0.13508783,12.315958,3567000.0,77035.0,2.0307329,0.115320235,7.579999923706055
