Date,NVDA
2020-09-25,12.834571838378906
2020-09-28,12.995329856872559
2020-09-29,13.185500144958496
2020-09-30,13.489322662353516
2020-10-01,13.573064804077148
2020-10-02,13.022497177124023
2020-10-05,13.600982666015625
2020-10-06,13.694693565368652
2020-10-07,13.921500205993652
2020-10-08,13.796632766723633
2020-10-09,13.720867156982422
2020-10-12,14.182706832885742
2020-10-13,14.204891204833984
2020-10-14,14.052351951599121
2020-10-15,13.927484512329102
2020-10-16,13.7694673538208
2020-10-19,13.456674575805664
2020-10-20,13.603972434997559
2020-10-21,13.483591079711914
2020-10-22,13.32033920288086
2020-10-23,13.548890113830566
2020-10-26,13.101258277893066
2020-10-27,13.355978012084961
2020-10-28,12.588570594787598
2020-10-29,12.984363555908203
2020-10-30,12.495855331420898
2020-11-02,12.542463302612305
