sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
117,4,0.85231733,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
117,5,0.85231733,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
117,6,0.85231733,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
118,0,0.80754125,0.324231,0.36059034,0.038815357,0.82482326,5.3038468e-05,0.8304,0.8123596,0.97565544
118,1,0.80754125,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
118,2,0.80754125,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
118,3,0.80754125,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
118,4,0.80754125,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
118,5,0.80754125,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
118,6,0.80754125,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
119,0,0.8146112,0.31555378,0.34639642,0.025587687,0.82403773,5.19777e-05,0.8608,0.8044944,0.97696626
119,1,0.8146112,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
119,2,0.8146112,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
119,3,0.8146112,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
119,4,0.8146112,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
119,5,0.8146112,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
119,6,0.8146112,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
120,0,0.80675566,0.330671,0.36703953,0.01613234,0.83424985,0.000118806165,0.8524,0.7966292,0.9784645
120,1,0.80675566,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
120,2,0.80675566,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
120,3,0.80675566,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
120,4,0.80675566,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
120,5,0.80675566,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
120,6,0.80675566,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
121,0,0.8043991,0.3221859,0.36564243,0.016113972,0.8383347,0.00014638617,0.8568,0.8037453,0.9859551
121,1,0.8043991,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
121,2,0.8043991,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
121,3,0.8043991,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
121,4,0.8043991,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
121,5,0.8043991,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
121,6,0.8043991,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
122,0,0.802828,0.30047184,0.35533923,0.033121046,0.8263943,0.00013683924,0.84304,0.8014982,0.99063665
122,1,0.802828,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
122,2,0.802828,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
122,3,0.802828,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
122,4,0.802828,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
122,5,0.802828,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
122,6,0.802828,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
123,0,0.811469,0.31986406,0.34795645,0.025354886,0.828751,8.804385e-05,0.83248,0.7940075,0.97659177
123,1,0.811469,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
123,2,0.811469,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
123,3,0.811469,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
123,4,0.811469,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
123,5,0.811469,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
123,6,0.811469,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
124,0,0.80675566,0.3488622,0.3661804,0.05178908,0.85231733,0.0008125493,0.8468,0.8494382,0.9625468
124,1,0.80675566,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
124,2,0.80675566,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
124,3,0.80675566,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
124,4,0.80675566,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
124,5,0.80675566,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
124,6,0.80675566,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
125,0,0.81359,0.25693008,0.33643478,0.09994446,0.80754125,0.000505987,0.8496,0.7977528,0.9625468
125,1,0.81359,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
125,2,0.81359,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
125,3,0.81359,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
125,4,0.81359,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
125,5,0.81359,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
125,6,0.81359,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
126,0,0.8106834,0.32653043,0.3409889,0.101965204,0.8146112,0.0004529485,0.8432,0.79026216,0.9653558
126,1,0.8106834,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
126,2,0.8106834,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
