symbol,period,year,net_income,eps,roe,pe,pbr,revenue,operating_income,gross_profit,profit_margin,total_assets,total_liabilities,debt_to_equity,current_ratio,market_cap,dividend_yield,beta,forward_pe,operating_cashflow,capex,free_cashflow
LIN,2025-06-30,2025,1766000000.0,14.11,,33.66407,5.783021,8495000000.0,2339000000.0,4189000000.0,0.20788699234844027,86078000000.0,,,0.9261247791219247,222732025856,1.26,0.952,28.023598,,,0
LIN,2025-03-31,2025,1673000000.0,14.11,,33.66407,5.783021,8112000000.0,2221000000.0,3955000000.0,0.20623767258382644,82704000000.0,,,0.9386952019330341,222732025856,1.26,0.952,28.023598,,,0
LIN,2024-12-31,2024,1725000000.0,14.11,,33.66407,5.783021,8282000000.0,2196000000.0,3962000000.0,0.20828302342429364,80147000000.0,,,0.8900577557755776,222732025856,1.26,0.952,28.023598,,,0
LIN,2024-09-30,2024,1550000000.0,14.11,,33.66407,5.783021,8356000000.0,2180000000.0,4000000000.0,0.1854954523695548,82546000000.0,,,0.9580753078510926,222732025856,1.26,0.952,28.023598,,,0
LIN,2024-06-30,2024,1663000000.0,14.11,,33.66407,5.783021,8267000000.0,2182000000.0,4016000000.0,0.20116124349824605,80215000000.0,,,0.9510515402843602,222732025856,1.26,0.952,28.023598,,,0
LIN,2024-03-31,2024,,14.11,,33.66407,5.783021,,,,,,,,,222732025856,1.26,0.952,28.023598,,,0
PEP,2025-06-30,2025,1263000000.0,5.49,,25.581059,10.446296,22726000000.0,3649000000.0,12422000000.0,0.05557511220628355,105345000000.0,,,0.7750851741949665,192273219584,4.05,0.467,16.273464,,,0
PEP,2025-03-31,2025,1834000000.0,5.49,,25.581059,10.446296,17919000000.0,2583000000.0,9993000000.0,0.10234946146548357,101737000000.0,,,0.834248357716353,192273219584,4.05,0.467,16.273464,,,0
PEP,2024-12-31,2024,1523000000.0,5.49,,25.581059,10.446296,27784000000.0,2283000000.0,14603000000.0,0.05481572127843363,99467000000.0,,,0.8189370877727042,192273219584,4.05,0.467,16.273464,,,0
PEP,2024-09-30,2024,2930000000.0,5.49,,25.581059,10.446296,23319000000.0,3872000000.0,12923000000.0,0.12564861271924183,100513000000.0,,,0.8857661223816592,192273219584,4.05,0.467,16.273464,,,0
PEP,2024-06-30,2024,3083000000.0,5.49,,25.581059,10.446296,22501000000.0,4048000000.0,12582000000.0,0.13701613261632817,99533000000.0,,,0.8251894182612046,192273219584,4.05,0.467,16.273464,,,0
PEP,2024-03-31,2024,,5.49,,25.581059,10.446296,,,,,,,,,192273219584,4.05,0.467,16.273464,,,0
APP,2025-06-30,2025,819531000.0,7.83,,91.767555,208.57474,1258754000.0,957682000.0,1103678000.0,0.6510652597727594,5959497000.0,,,2.7358351197795017,226580070400,,2.439,139.25194,,,0
APP,2025-03-31,2025,576419000.0,7.83,,91.767555,208.57474,1484021000.0,852414000.0,1212789000.0,0.388417010271418,5706701000.0,,,1.679884816040601,226580070400,,2.439,139.25194,,,0
APP,2024-12-31,2024,599204000.0,7.83,,91.767555,208.57474,1372779000.0,607980000.0,1052327000.0,0.43648977730574257,5869259000.0,,,2.1865259789384495,226580070400,,2.439,139.25194,,,0
APP,2024-09-30,2024,434420000.0,7.83,,91.767555,208.57474,1198235000.0,534934000.0,928576000.0,0.3625499171698373,5442484000.0,,,2.405815767328257,226580070400,,2.439,139.25194,,,0
APP,2024-06-30,2024,309969000.0,7.83,,91.767555,208.57474,711015000.0,384422000.0,589256000.0,0.4359528279994093,5269466000.0,,,2.2756174349738414,226580070400,,2.439,139.25194,,,0
APP,2024-03-31,2024,,7.83,,91.767555,208.57474,,,,,,,,,226580070400,,2.439,139.25194,,,0
INTU,2025-07-31,2025,381000000.0,13.39,,51.00149,9.671165,3831000000.0,340000000.0,2937000000.0,0.09945184025058731,36958000000.0,,,1.3603664416586307,194678374400,0.62,1.26,30.720198,,,0
INTU,2025-04-30,2025,2820000000.0,13.39,,51.00149,9.671165,7754000000.0,3721000000.0,6560000000.0,0.36368326025277276,36593000000.0,,,1.4465506525792418,194678374400,0.62,1.26,30.720198,,,0
INTU,2025-01-31,2025,471000000.0,13.39,,51.00149,9.671165,3963000000.0,597000000.0,3026000000.0,0.11884935654806965,31682000000.0,,,1.272461345591308,194678374400,0.62,1.26,30.720198,,,0
INTU,2024-10-31,2024,197000000.0,13.39,,51.00149,9.671165,3283000000.0,284000000.0,2460000000.0,0.06000609198903442,33193000000.0,,,1.244459914143172,194678374400,0.62,1.26,30.720198,,,0
INTU,2024-07-31,2024,-20000000.0,13.39,,51.00149,9.671165,3184000000.0,96000000.0,2401000000.0,-0.00628140703517588,32132000000.0,,,1.2919503404084902,194678374400,0.62,1.26,30.720198,,,0
