Date,DOWJONES,NASDAQ,DXY,S&P500,VIX,US10Y
2020-09-21,27147.69922,10778.7998,93.54000092,3281.060059,27.78000069,0.671000004
2020-09-22,27288.17969,10963.63965,93.98999786,3315.570068,26.86000061,0.663999975
2020-09-23,26763.13086,10632.99023,94.38999939,3236.919922,28.57999992,0.675999999
2020-09-24,26815.43945,10672.26953,94.34999847,3246.590088,28.51000023,0.666000009
2020-09-25,27173.96094,10913.55957,94.58000183,3298.459961,26.37999916,0.658999979
2020-09-28,27584.06055,11117.53027,94.26000214,3351.600098,26.19000053,0.662999988
2020-09-29,27452.66016,11085.25,93.88999939,3335.469971,26.27000046,0.644999981
2020-09-30,27781.69922,11167.50977,93.88999939,3363,26.37000084,0.676999986
2020-10-01,27816.90039,11326.50977,93.70999908,3380.800049,26.70000076,0.676999986
2020-10-02,27682.81055,11075.01953,93.83999634,3348.419922,27.62999916,0.69599998
2020-10-05,28148.64063,11332.49023,93.51000214,3408.600098,27.95999908,0.762000024
2020-10-06,27772.75977,11154.59961,93.83000183,3360.969971,29.47999954,0.741999984
2020-10-07,28303.46094,11364.59961,93.62999725,3419.439941,28.05999947,0.785000026
2020-10-08,28425.50977,11420.98047,93.61000061,3446.830078,26.36000061,0.764999986
2020-10-09,28586.90039,11579.94043,93.05999756,3477.139893,25,0.774999976
2020-10-12,28837.51953,11876.25977,93.06999969,3534.219971,25.06999969,0.77700001
2020-10-13,28679.81055,11863.90039,93.52999878,3511.929932,26.06999969,0.726999998
2020-10-14,28514,11768.73047,93.37999725,3488.669922,26.39999962,0.722000003
2020-10-15,28494.19922,11713.87012,93.86000061,3483.340088,26.96999931,0.731000006
2020-10-16,28606.31055,11671.55957,93.68000031,3483.810059,27.40999985,0.744000018
2020-10-19,28195.41992,11478.87988,93.43000031,3426.919922,29.18000031,0.760999978
2020-10-20,28308.78906,11516.49023,93.06999969,3443.120117,29.35000038,0.796999991
2020-10-21,28210.82031,11484.69043,92.61000061,3435.560059,28.64999962,0.815999985
2020-10-22,28363.66016,11506.00977,92.94999695,3453.48999,28.11000061,0.84799999
2020-10-23,28335.57031,11548.28027,92.76999664,3465.389893,27.54999924,0.841000021
2020-10-26,27685.38086,11358.94043,93.05000305,3400.969971,32.45999908,0.800999999
2020-10-27,27463.18945,11431.34961,92.94000244,3390.679932,33.34999847,0.777999997
2020-10-28,26519.94922,11004.87012,93.41000366,3271.030029,40.27999878,0.781000018
2020-10-29,26659.10938,11185.58984,93.95999908,3310.110107,37.59000015,0.834999979
2020-10-30,26501.59961,10911.58984,94.04000092,3269.959961,38.02000046,0.860000014
2020-11-02,26925.05078,10957.61035,94.05000305,3310.23999,37.13000107,0.848999977
2020-11-03,27480.0293,11160.57031,93.55000305,3369.159912,35.54999924,0.882000029
2020-11-04,27847.66016,11590.78027,93.41000366,3443.439941,29.56999969,0.768000007
2020-11-05,28390.17969,11890.92969,92.52999878,3510.449951,27.57999992,0.776000023
2020-11-06,28323.40039,11895.23047,92.23000336,3509.439941,24.86000061,0.819999993
2020-11-09,29157.9707,11713.78027,92.73000336,3550.5,25.75,0.958000004
2020-11-10,29420.91992,11553.86035,92.75,3545.530029,24.79999924,0.972000003
2020-11-11,29397.63086,11786.42969,93.04000092,3572.659912,23.45000076,0.958000004
2020-11-12,29080.16992,11709.58984,92.95999908,3537.01001,25.35000038,0.88499999
2020-11-13,29479.81055,11829.29004,92.76000214,3585.149902,23.10000038,0.893000007
2020-11-16,29950.43945,11924.12988,92.56999969,3626.909912,22.45000076,0.906000018
2020-11-17,29783.34961,11899.33984,92.41999817,3609.530029,22.70999908,0.871999979
2020-11-18,29438.41992,11801.59961,92.31999969,3567.790039,23.84000015,0.882000029
2020-11-19,29483.23047,11904.70996,92.29000092,3581.870117,23.11000061,0.853999972
2020-11-20,29263.48047,11854.96973,92.38999939,3557.540039,23.70000076,0.828999996
2020-11-23,29591.26953,11880.62988,92.51000214,3577.590088,22.65999985,0.856999993
2020-11-24,30046.24023,12036.79004,92.23000336,3635.409912,21.63999939,0.882000029
2020-11-25,29872.4707,12094.40039,91.98999786,3629.649902,21.25,0.878000021
2020-11-27,29910.36914,12205.84961,91.79000092,3638.350098,20.84000015,0.842000008
2020-11-30,29638.64063,12198.74023,91.87000275,3621.629883,20.56999969,0.843999982
2020-12-01,29823.91992,12355.11035,91.30999756,3662.449951,20.77000046,0.934000015
